league,season,player_id,player_name,team_title,position,games,time,goals,assists,xG,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
serie_a,2014-2015,3989,Salvatore Molina,Atalanta,M S,4,176,0,0,0.0815813317894935,0.0836892873048782,2,3,1,0,0,0.0815813317894935,0.1507649794220924,0.0152491964399814
serie_a,2014-2015,3992,Soufiane Bidaoui,Parma,F S,4,129,0,0,0.0916557610034942,0.1062564216554164,1,2,1,0,0,0.0916557610034942,0.9601404294371604,0.7622282207012177
serie_a,2014-2015,3997,Antonio Mazzotta,Cesena,D M S,10,713,0,0,0.0948075475171208,0.4724028063938021,4,4,0,0,0,0.0948075475171208,0.5287644481286407,0.2548529878258705
serie_a,2014-2015,3998,Luca Valzania,Cesena,M,2,155,0,0,0.0643398575484752,0.0685663819313049,3,2,1,0,0,0.0643398575484752,0.3106380216777324,0.1932215839624405
serie_a,2014-2015,4000,Nicola Belmonte,Udinese,S,2,6,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
serie_a,2014-2015,4001,Stefan Ristovski,Parma,D S,6,296,0,0,0.1599849313497543,0.1226323246955871,3,1,1,0,0,0.1599849313497543,1.044943617656827,0.7623263467103243
serie_a,2014-2015,4002,Francesco Fedato,Sampdoria,S,1,39,0,0,0.0421495772898197,0.0,1,0,0,0,0,0.0421495772898197,0.0421495772898197,0.0
serie_a,2014-2015,4003,Gianluca Sansone,Sampdoria,F S,4,84,0,0,0.0604570396244525,0.055237166583538,2,1,0,0,0,0.0604570396244525,0.230630312114954,0.1701732724905014
serie_a,2014-2015,4008,Franco Mussis,Genoa,S,1,7,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
serie_a,2014-2015,4009,Facundo Lescano,Torino,S,1,4,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
serie_a,2014-2015,4010,Luca Garritano,Cesena,M S,6,104,0,0,0.0206809602677822,0.2006955966353416,1,2,1,0,0,0.0206809602677822,0.3050749488174915,0.1439046487212181
serie_a,2014-2015,4011,Manuel Coppola,Cesena,M S,11,867,0,0,0.0679645109921693,0.1461527720093727,4,4,3,1,0,0.0679645109921693,0.8361014407128096,0.7381954127922654
serie_a,2014-2015,4012,Davide Moro,Empoli,S,4,111,0,0,0.0124168032780289,0.0,1,0,1,0,0,0.0124168032780289,0.0306479102000594,0.0306479102000594
serie_a,2014-2015,4016,Edimar,Chievo,S,1,9,0,0,0.0,0.0444910265505313,0,1,0,0,0,0.0,0.0,0.0
serie_a,2014-2015,4017,Juan Sánchez Miño,Torino,M S,11,480,0,1,1.4937666915357113,1.238614771515131,15,18,1,0,0,0.7324678562581539,2.1778909973800182,1.0486562959849834
serie_a,2014-2015,4019,Marcelo Larrondo,Torino,F S,5,274,0,0,1.0523653291165829,0.1132991388440132,6,1,0,0,0,0.2910665310919285,0.5425133965909481,0.3691564686596393
serie_a,2014-2015,4022,Granddi N&#039;Goyi,Palermo,S,5,69,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0645958809182047,0.0645958809182047
serie_a,2014-2015,4024,Michu,Napoli,M S,3,147,0,0,0.3041958305984735,1.0111951045691967,2,4,1,0,0,0.3041958305984735,1.1068120449781418,0.4396996945142746
serie_a,2014-2015,4026,Paulo Barreto,Torino,S,1,2,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
serie_a,2014-2015,4027,Sol Bamba,Palermo,D,1,90,0,0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0
serie_a,2014-2015,4029,Tiberio Guarente,Empoli,S,1,6,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
serie_a,2014-2015,4031,Jonathan,Inter,D M,2,174,0,0,0.1156525388360023,0.5894925557076931,1,6,0,0,0,0.1156525388360023,0.6838701367378235,0.515159297734499
serie_a,2015-2016,1293,Gonzalo Higuaín,Napoli,F,35,2989,36,2,27.29547758772969,2.704297137446701,182,51,1,1,33,25.01158105209469,30.054061494767662,5.310751999728382
serie_a,2015-2016,1294,Paulo Dybala,Juventus,F S,34,2480,19,9,15.12728680856526,8.31875187996775,107,73,1,0,13,10.55953368730843,19.78540198970586,7.206236615777016
serie_a,2015-2016,1125,Carlos Bacca,AC Milan,F S,38,3179,18,2,14.870253454893827,3.657709759660065,77,41,2,0,16,13.347655806690454,18.54066981375217,3.277732176706195
