id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season,league
1569,Valerio Verre,27,994,3,2.109388402663172,3,1.8456457890570164,24,19,3,0,M S,Sampdoria,3,2.109388402663172,6.058048563078046,2.701001638546586,2020-2021,serie_a
1577,Marko Pjaca,35,1409,3,2.8198548052459955,2,2.1108859162777662,29,14,0,0,F M S,Genoa,3,2.8198548052459955,6.316302241757512,2.0901232855394483,2020-2021,serie_a
1972,Gaetano Letizia,24,1567,3,0.4204478589817881,1,1.2012780103832483,13,14,2,0,D S,Benevento,3,0.4204478589817881,3.6646597059443593,2.822899291291833,2020-2021,serie_a
2053,Martin Erlic,27,1786,3,1.4483477659523487,1,0.485311895608902,9,1,6,0,D S,Spezia,3,1.4483477659523487,2.894429944455624,2.8831740841269493,2020-2021,serie_a
2447,Fabián,33,2577,3,2.5515004927292466,1,1.827537814155221,43,40,1,0,M S,Napoli,3,2.5515004927292466,16.610890589654446,13.18125981837511,2020-2021,serie_a
3821,Rolando Mandragora,27,1917,3,3.445586168207228,1,0.5977569790557027,35,19,3,1,M S,"Torino,Udinese",3,3.445586168207228,7.988405993208289,4.565368033014238,2020-2021,serie_a
4348,Tolgay Arslan,30,1861,3,0.9118154561147094,0,0.5380894932895899,22,9,9,0,M S,Udinese,3,0.9118154561147094,5.483984441496432,4.289577022194862,2020-2021,serie_a
6174,Nikola Milenkovic,34,3038,3,3.940239657647908,1,0.6531146448105574,22,7,7,1,D,Fiorentina,3,3.940239657647908,8.42001074552536,6.181351879611611,2020-2021,serie_a
6201,Andrej Galabinov,12,411,3,2.96411706879735,1,0.2416317462921142,8,3,0,0,F S,Spezia,3,2.202818233519793,2.7756912112236023,0.4455860070884228,2020-2021,serie_a
6978,Giovanni Di Lorenzo,36,3240,3,4.016951352357864,6,5.703629858791828,28,49,11,0,D,Napoli,3,4.016951352357864,18.72520815767348,14.584343420341613,2020-2021,serie_a
6997,Ignacio Pussetto,11,761,3,2.382127902470529,1,1.0900549329817295,17,8,2,0,F S,Udinese,3,2.382127902470529,3.6208870373666286,1.3502654805779457,2020-2021,serie_a
7939,Morten Thorsby,33,2647,3,2.763799811713397,1,1.0206933501176536,22,18,10,0,M S,Sampdoria,3,2.763799811713397,6.600822178646922,4.005228387191892,2020-2021,serie_a
8856,Razvan Marin,37,2995,3,1.3309972770512104,6,3.8396787755191326,27,68,6,0,M S,Cagliari,3,1.3309972770512104,9.81831580772996,7.314298069104552,2020-2021,serie_a
8944,Giulio Maggiore,33,2231,3,5.055750848725438,1,1.886112155392766,40,13,3,0,M S,Spezia,3,5.055750848725438,9.435786681249738,4.3090628776699305,2020-2021,serie_a
9226,Mihai Valentin Mihaila,16,679,3,2.942351028323173,0,0.3544315677136183,19,7,2,0,F S,Parma Calcio 1913,3,2.942351028323173,4.353971650823951,1.1078739017248154,2020-2021,serie_a
3,Luca Caldirola,25,1560,2,0.5324269495904446,0,0.1576358098536729,7,6,3,1,D S,Benevento,2,0.5324269495904446,2.15018835105002,2.036787203513086,2020-2021,serie_a
